title;type;scimago_value;jcs_value
Research in Veterinary Science;journal;0.72;2.53
International Journal of Social Welfare;journal;0.66;1.96
Journal of Number Theory;journal;0.63;0.72
Journal of Iberian Geology;journal;0.59;1.86
Neotropical Ichthyology;journal;0.59;2.09
Research in Astronomy and Astrophysics;journal;0.52;1.47
International Review of Economics Education;journal;0.51;1.88
Journal of Shellfish Research;journal;0.51;1.40
Vocations and Learning;journal;0.50;1.80
Journal of Experimental Nanoscience;journal;0.47;3.08
Journal of Nonlinear and Convex Analysis;journal;0.46;1.08
Review of Radical Political Economics;journal;0.46;0.98
ACM Transactions on Autonomous and Adaptive Systems;journal;0.44;0.97
Phytochemistry Letters;journal;0.43;1.68
American Historical Review;journal;0.42;1.93
Journal of Motor Behavior;journal;0.41;1.33
International Journal of Immunogenetics;journal;0.41;1.47
Psychiatria Danubina;journal;0.39;1.06
American Journal of Forensic Medicine and Pathology;journal;0.37;0.92
Journal of Forest Research;journal;0.34;1.27
Chemical and Biochemical Engineering Quarterly;journal;0.33;1.58
Bollettino di Geofisica Teorica ed Applicata;journal;0.33;0.58
Journal of Oceanology and Limnology;journal;0.33;1.27
Industrial Lubrication and Tribology;journal;0.31;1.30
Bulletin of Experimental Biology and Medicine;journal;0.29;0.80
Osiris;journal;0.23;0.55
Journal of Risk;journal;0.22;0.76
Gradevinar;trade journal;0.21;0.91
Ceska a Slovenska Neurologie a Neurochirurgie;journal;0.15;0.35
West Indian Medical Journal;journal;0.12;0.17
Nature Catalysis;journal;14.33;41.81
FEMS Microbiology Reviews;journal;5.91;16.41
Trends in Pharmacological Sciences;journal;3.88;14.82
International Journal of Project Management;journal;2.76;7.17
Journal of the International AIDS Society;journal;2.72;5.40
Remedial and Special Education;journal;2.39;5.26
Retrovirology;journal;2.13;4.60
Epidemics;journal;2.02;4.40
Cultural Anthropology;journal;1.67;3.44
Ultrasonics Sonochemistry;journal;1.63;7.49
Exercise Immunology Review;journal;1.56;6.31
Bioconjugate Chemistry;journal;1.28;4.77
Clinics in Perinatology;journal;1.21;3.43
Journal of Sports Sciences;journal;1.21;3.34
npj Microgravity;journal;1.09;4.42
Mobilities;journal;1.06;2.44
EJNMMI Physics;journal;0.99;3.31
Current Zoology;journal;0.97;2.62
Journal of Mental Health;journal;0.95;4.30
BMC Gastroenterology;journal;0.94;3.07
Diabetes Therapy;journal;0.91;2.95
Algebra and Logic;journal;0.90;0.75
Mechanisms of Development;journal;0.89;1.88
Journal of Child and Family Studies;journal;0.88;2.28
ACS Earth and Space Chemistry;journal;0.88;3.48
Marine Drugs;journal;0.85;5.12
General and Comparative Endocrinology;journal;0.82;2.82
Journal of Magnetic Resonance;journal;0.78;2.23
Archives of Cardiovascular Diseases;journal;0.77;2.34
Sociology of Sport Journal;journal;0.76;2.13
Annals of Plastic Surgery;journal;0.64;1.54
Early Childhood Education Journal;journal;0.61;1.77
Australian Psychologist;journal;0.59;1.79
Acta Orthopaedica et Traumatologica Turcica;journal;0.59;1.51
Oncology;journal;0.54;2.94
Journal of Linguistics;journal;0.46;1.07
Botanica Marina;journal;0.45;1.84
Fisheries Science;journal;0.41;1.62
IET Systems Biology;journal;0.37;1.62
African Journal of Herpetology;journal;0.34;0.61
Biocatalysis and Biotransformation;journal;0.34;2.18
Libyan Journal of Medicine;journal;0.34;1.66
Synthetic Communications;journal;0.31;2.01
German Economic Review;journal;0.30;0.93
International Journal of Chemical Reactor Engineering;journal;0.27;1.51
Materials Science-Poland;journal;0.26;1.02
Modern Italy;journal;0.25;0.53
Revista de la Construccion;journal;0.23;0.90
Information Visualization;journal;0.18;0.96
Journal of Comparative Family Studies;journal;0.16;0.30
Mechanical Engineering;trade journal;0.12;0.78
Journal of Advertising;journal;3.09;5.52
Journal fur die Reine und Angewandte Mathematik;journal;2.56;1.71
Annual Reviews in Control;journal;1.78;6.09
TESOL Quarterly;journal;1.74;3.69
International Journal of Fatigue;journal;1.67;5.19
Sustainability Science;journal;1.66;6.37
Antimicrobial Resistance and Infection Control;journal;1.46;4.89
Biomaterials Science;journal;1.42;6.84
International Journal of Food Microbiology;journal;1.31;5.28
Journal of Multivariate Analysis;journal;1.28;1.47
Plant and Soil;journal;1.28;4.19
Energy Journal;journal;1.24;2.41
Ecology and Evolution;journal;1.17;2.91
Physical Review Physics Education Research;journal;1.14;2.41
Motivation and Emotion;journal;1.09;2.34
Journal of Mathematical Biology;journal;0.93;2.26
Bulletin of Indonesian Economic Studies;journal;0.92;1.55
Yeast;journal;0.92;3.24
Healthcare;journal;0.92;2.65
Quaternary Research;journal;0.87;2.72
Epilepsy Research;journal;0.86;3.05
Eating Disorders;journal;0.85;3.22
IEEE Intelligent Transportation Systems Magazine;journal;0.83;3.42
Canadian Journal of Plant Pathology;journal;0.76;2.44
Protein Journal;journal;0.72;2.37
Landscape Research;journal;0.67;2.06
International Journal of Spray and Combustion Dynamics;journal;0.61;1.77
Sustainability;journal;0.61;3.25
Safety and Health at Work;journal;0.58;2.71
Journal of Food Quality;journal;0.57;2.45
Combustion Science and Technology;journal;0.55;2.17
Journal of Environmental Engineering and Landscape Management;journal;0.51;1.37
Journal of Food Measurement and Characterization;journal;0.51;2.43
Solid-State Electronics;journal;0.46;1.90
Annales Societatis Geologorum Poloniae;journal;0.45;1.33
Physiology International;journal;0.42;2.09
Transactions of the American Entomological Society;journal;0.37;0.76
International Journal of Osteopathic Medicine;journal;0.35;2.15
Journal of Superconductivity and Novel Magnetism;journal;0.32;1.51
Iranian Journal of Fisheries Sciences;journal;0.31;0.80
International Journal of Developmental Disabilities;journal;0.31;0.97
Journal of Mechanics;journal;0.27;1.12
Onomazein;journal;0.24;0.42
Psikhologicheskii Zhurnal;journal;0.23;0.55
Radioengineering;journal;0.23;0.95
Journal of the Gilded Age and Progressive Era;journal;0.15;0.34
Revija Za Socijalnu Politiku;journal;0.14;0.27
Educational Psychologist;journal;5.86;9.54
Current Opinion in Immunology;journal;3.86;7.49
PLoS Pathogens;journal;3.72;6.82
Journal of Heart and Lung Transplantation;journal;3.55;10.25
International Business Review;journal;1.77;5.92
Medical Care Research and Review;journal;1.43;3.93
Canadian Journal of Cardiology;journal;1.40;5.22
Comprehensive Psychiatry;journal;1.31;3.74
Microbial Biotechnology;journal;1.29;5.81
SIAM Journal on Applied Dynamical Systems;journal;1.22;2.32
Behavioral Ecology;journal;1.16;2.67
Endocrine;journal;1.00;3.63
Scandinavian Journal of Management;journal;0.96;2.43
Journal of Higher Education Policy and Management;journal;0.93;2.13
Pesticide Biochemistry and Physiology;journal;0.93;3.96
BMC Oral Health;journal;0.87;2.76
International Journal of Food Science and Technology;journal;0.83;3.71
Politics and Religion;journal;0.76;1.65
Deviant Behavior;journal;0.74;1.98
Current Molecular Pharmacology;journal;0.72;3.34
Andean Geology;journal;0.70;2.33
Journal of Insect Conservation;journal;0.67;2.26
Oxidation of Metals;journal;0.65;1.94
International Journal of Critical Infrastructure Protection;journal;0.65;2.87
Chemosensors;journal;0.63;3.40
Archiv der Mathematik;journal;0.58;0.61
Journal of Asian Ceramic Societies;journal;0.56;3.13
Journal of Biomedical Nanotechnology;journal;0.56;4.10
Ecological Complexity;journal;0.54;1.88
Journal of Veterinary Diagnostic Investigation;journal;0.53;1.28
Taiwanese Journal of Mathematics;journal;0.53;1.14
Journal of Visual Communication and Image Representation;journal;0.50;2.68
Journal of Public Health Policy;journal;0.47;2.22
Ciencia e Agrotecnologia;journal;0.44;1.39
Phytoparasitica;journal;0.43;1.44
Actuators;journal;0.38;1.99
Asia-Pacific Journal of Financial Studies;journal;0.38;1.11
Boletin de la Asociacion de Geografos Espanoles;journal;0.37;1.18
Cutaneous and Ocular Toxicology;journal;0.36;1.82
Journal of the Entomological Research Society;journal;0.25;0.55
Language and Literature;journal;0.25;0.68
Journal of Hematopathology;journal;0.18;0.20
Gender and History;journal;0.15;0.42
Chemicke Listy;journal;0.14;0.38
Systematic Biology;journal;7.13;15.68
Science Robotics;journal;5.62;23.75
Annual Review of Political Science;book series;5.23;8.09
Matrix Biology;journal;4.37;11.58
Communication Methods and Measures;journal;3.69;7.88
Communication Monographs;journal;2.99;8.67
Current Opinion in Behavioral Sciences;journal;2.18;4.47
Soft Robotics;journal;2.00;8.07
American Journal of Agricultural Economics;journal;1.95;4.08
Renewable Energy;journal;1.83;8.00
Habitat International;journal;1.54;5.37
Medical Decision Making;journal;1.39;2.58
Environmental Evidence;journal;1.34;4.93
Orthopaedic Journal of Sports Medicine;journal;1.33;2.73
Current Anthropology;journal;1.29;2.98
Journal of Developmental and Life-Course Criminology;journal;1.06;2.36
Journal of Professional Capital and Community;journal;1.00;2.00
MicrobiologyOpen;journal;0.88;3.14
Cancer genetics;journal;0.88;2.52
International Journal of Inclusive Education;journal;0.84;3.13
Society and Mental Health;journal;0.80;3.43
Toxics;journal;0.78;4.15
Asian Journal of Control;journal;0.77;3.45
Health Promotion International;journal;0.71;2.48
Teaching of Psychology;journal;0.65;1.18
Journal of Official Statistics;journal;0.61;0.92
Resource Geology;journal;0.60;1.35
Heat and Mass Transfer;journal;0.55;2.46
Journal of Neurogenetics;journal;0.51;1.25
Environment;journal;0.47;4.10
Clothing and Textiles Research Journal;journal;0.47;1.90
Journal of Micropalaeontology;journal;0.46;1.67
Real-Time Systems;journal;0.44;1.27
European Journal of Physics;journal;0.42;0.78
Journal of the Indian Society of Remote Sensing;journal;0.37;1.56
Communications in Theoretical Physics;journal;0.37;1.97
International Journal of Feminist Approaches to Bioethics;journal;0.33;0.48
Canadian Journal of Chemistry;journal;0.32;1.12
English World-Wide;journal;0.30;1.08
Genome Biology;journal;9.03;13.58
Seminars in Immunopathology;journal;4.78;9.62
Psychotherapy and Psychosomatics;journal;3.53;17.66
Structure;journal;2.91;5.01
SIAM Journal on Numerical Analysis;journal;2.78;3.21
World Development;journal;2.39;5.28
Annals of Behavioral Medicine;journal;1.70;4.91
Catena;journal;1.44;5.20
LGBT Health;journal;1.42;4.15
Journal of Educational Change;journal;1.40;2.61
Biochimie;journal;1.25;4.08
Life Sciences;journal;1.13;5.04
Journal of Advanced Ceramics;journal;1.08;6.71
Journal of Supercritical Fluids;journal;0.96;4.58
IEEE Microwave and Wireless Components Letters;journal;0.94;2.86
Journal of Water Process Engineering;journal;0.90;5.49
Multiple Sclerosis and Related Disorders;journal;0.87;4.34
Microvascular Research;journal;0.82;3.51
Journal of Environmental Radioactivity;journal;0.82;2.67
Digestive Surgery;journal;0.76;2.59
Molecular Medicine Reports;journal;0.73;2.95
New Journal of Chemistry;journal;0.69;3.59
China Agricultural Economic Review;journal;0.69;2.24
Health Sociology Review;journal;0.66;1.12
Education and Training in Autism and Developmental Disabilities;journal;0.65;1.58
BMC Surgery;journal;0.65;2.10
Journal of Cosmetic Dermatology;journal;0.63;2.70
Engineering Optimization;journal;0.60;3.23
Language Acquisition;journal;0.59;1.35
Journal of Hymenoptera Research;journal;0.56;1.73
Toxicon;journal;0.56;3.03
Canadian Mineralogist;journal;0.55;1.17
Emerging Markets Finance and Trade;journal;0.54;2.32
Skin Research and Technology;journal;0.52;2.37
Pharmacology;journal;0.51;2.55
China Communications;journal;0.51;2.69
Australasian Journal of Environmental Management;journal;0.48;1.83
Pediatric and Developmental Pathology;journal;0.48;1.48
Human Heredity;journal;0.42;0.44
DISP;journal;0.40;1.53
Annals of Agricultural and Environmental Medicine;journal;0.40;1.45
Photonic Network Communications;journal;0.40;2.03
Journal of Near Infrared Spectroscopy;journal;0.39;1.37
Annals of Mathematics and Artificial Intelligence;journal;0.37;0.79
Planta Daninha;journal;0.34;0.71
Current Nanoscience;journal;0.29;1.82
South African Journal of Economic and Management Sciences;journal;0.28;0.99
Scientific Programming;journal;0.27;1.03
Poznan Studies in Contemporary Linguistics;journal;0.26;0.39
Berliner Journal fur Soziologie;journal;0.21;0.57
Compositio Mathematica;journal;2.77;1.46
Educational Administration Quarterly;journal;2.20;4.00
Tunnelling and Underground Space Technology;journal;2.17;5.92
Contributions to Mineralogy and Petrology;journal;2.08;4.08
mAbs;journal;2.08;5.86
Economic Theory;journal;1.57;1.53
Political Geography;journal;1.53;3.66
Psychiatric Services;journal;1.52;3.08
Acta Pharmacologica Sinica;journal;1.51;6.15
Journal of Cardiovascular Computed Tomography;journal;1.38;4.31
Ocean Modelling;journal;1.38;3.69
Experimental Thermal and Fluid Science;journal;1.31;3.23
Archives of Sexual Behavior;journal;1.29;4.51
Rhinology;journal;1.28;3.68
Hormones and Behavior;journal;1.25;3.59
BMC Cell Biology;journal;1.15;4.24
Histochemistry and Cell Biology;journal;1.11;4.30
ACM Transactions on Algorithms;journal;1.09;1.14
Pancreas;journal;1.06;3.33
ASN Neuro;journal;1.04;4.15
Tourism Review;journal;1.00;5.95
Soft Matter;journal;0.99;3.68
Polymer;journal;0.91;4.43
Journal of Neuroimaging;journal;0.82;2.49
Systematic and Applied Acarology;journal;0.77;1.42
Injury Prevention;journal;0.75;2.40
Journal of Multinational Financial Management;journal;0.74;3.95
Genomics;journal;0.70;5.74
Journal of Clinical Neuroscience;journal;0.63;1.96
Journal of Geophysics and Engineering;journal;0.62;2.09
American Journal of Health Behavior;journal;0.59;1.97
Optimization and Engineering;journal;0.55;2.76
Acta Cardiologica Sinica;journal;0.55;2.67
Journal of Laser Applications;journal;0.55;1.64
Emergencias;journal;0.49;3.88
Journal of Nanoparticle Research;journal;0.45;2.25
Eastern European Countryside;book series;0.45;0.61
European Journal of Industrial Engineering;journal;0.44;1.37
Silicon;journal;0.42;2.67
Clinical and Investigative Medicine;journal;0.39;0.83
Journal of Plant Pathology;journal;0.36;1.73
Therapeutic hypothermia and temperature management;journal;0.32;1.29
Mechanical Sciences;journal;0.31;1.09
European Journal of Psychiatry;journal;0.23;0.67
Indian Journal of Pathology and Microbiology;journal;0.22;0.74
Journal of Multiple-Valued Logic and Soft Computing;journal;0.21;0.86
Transylvanian Review of Administrative Sciences;journal;0.20;0.74
Studia Universitatis Babes-Bolyai Chemia;journal;0.19;0.45
Actes de la Recherche en Sciences Sociales;journal;0.15;0.43
Turk Psikoloji Dergisi;journal;0.14;0.23
Current Topics in Microbiology and Immunology;journal;0.14;4.29
Betriebswirtschaftliche Forschung und Praxis;journal;0.13;0.14
Mathematical Programming;journal;2.36;4.00
Journal of Stroke;journal;2.35;6.97
Virulence;journal;1.93;5.88
Communications in Mathematical Physics;journal;1.66;2.39
Health Policy and Planning;journal;1.61;3.34
Environment and Behavior;journal;1.57;6.22
Organic Geochemistry;journal;1.53;3.61
Neuropsychologia;journal;1.44;3.14
Obesity Facts;journal;1.40;3.94
Journal of Veterinary Internal Medicine;journal;1.36;3.33
Solar Energy;journal;1.34;5.74
Advances in Chronic Kidney Disease;journal;1.26;3.62
International Marketing Review;journal;1.20;5.33
Journal of Asthma and Allergy;journal;1.16;4.26
Demographic Research;journal;1.13;2.05
Social Development;journal;1.08;2.27
Communications on Pure and Applied Analysis;journal;1.08;1.92
Progress in Solid State Chemistry;journal;1.07;5.68
Global Heart;journal;1.01;3.43
Critical Reviews in Analytical Chemistry;journal;0.94;6.54
Brain and Behavior;journal;0.92;2.71
European Journal of Internal Medicine;journal;0.89;4.49
Symbolic Interaction;journal;0.87;2.14
Electric Power Systems Research;journal;0.85;3.41
Dyes and Pigments;journal;0.83;4.89
Translational Behavioral Medicine;journal;0.82;3.05
IEEE Intelligent Systems;journal;0.81;3.41
Canadian Journal of Remote Sensing;journal;0.69;2.00
Journal of Animal Breeding and Genetics;journal;0.69;2.38
Agroforestry Systems;journal;0.69;2.55
IEEE Electrical Insulation Magazine;journal;0.64;3.22
Green Chemistry Letters and Reviews;journal;0.63;4.99
Journal of Food Protection;journal;0.61;2.08
ACM Transactions on Computational Logic;journal;0.59;0.63
European Journal of Education;journal;0.58;1.71
Postgraduate Medical Journal;journal;0.57;2.40
Current Molecular Medicine;journal;0.57;2.22
Journal of Empirical Legal Studies;journal;0.53;1.61
Journal of Fluorine Chemistry;journal;0.50;2.05
Media International Australia;journal;0.50;1.19
International Labour Review;journal;0.43;1.23
Plant Species Biology;journal;0.42;1.53
Computational and Theoretical Chemistry;journal;0.41;1.93
International Journal of Clinical and Experimental Hypnosis;journal;0.34;1.06
Australian Journal of Chemistry;journal;0.32;1.32
Journal of Biological Regulators and Homeostatic Agents;journal;0.28;1.71
Macroheterocycles;journal;0.24;1.20
Nexus Network Journal;journal;0.24;0.34
European Review;journal;0.22;0.49
Isis;journal;0.22;0.69
Journal of Urban History;journal;0.22;0.52
Applied Computational Electromagnetics Society Journal;journal;0.22;0.72
Advances in Mathematics;journal;2.28;1.69
Journal of Thrombosis and Haemostasis;journal;1.95;5.82
Journal of Geodesy;journal;1.78;4.26
Physical Review Materials;journal;1.44;3.99
Journal of Addiction Medicine;journal;1.26;3.70
Reproduction;journal;1.21;3.91
Journal of Pediatric Gastroenterology and Nutrition;journal;1.21;2.84
Journal of Wind Engineering and Industrial Aerodynamics;journal;1.14;4.08
Professional Geographer;journal;0.99;2.38
Publicacions Matematiques;journal;0.99;1.60
Asia Pacific Journal of Tourism Research;journal;0.97;3.68
International Journal of Advanced Manufacturing Technology;journal;0.95;3.23
Innate Immunity;journal;0.92;2.68
Administration and Policy in Mental Health and Mental Health Services Research;journal;0.91;2.85
Journal of Physiology and Pharmacology;journal;0.84;3.01
Tobacco Induced Diseases;journal;0.84;2.60
Arkiv for Matematik;journal;0.82;0.90
Behaviour;journal;0.74;1.99
Prosthetics and Orthotics International;journal;0.73;1.90
International Development Planning Review;journal;0.71;1.83
Chinese Sociological Review;journal;0.70;2.08
Reproductive Biology;journal;0.65;2.38
Fiscal Studies;journal;0.63;1.26
Historical Methods;journal;0.63;1.00
Banach Journal of Mathematical Analysis;journal;0.60;0.99
Translator;journal;0.54;0.58
Phlebology;journal;0.52;1.74
Journal of Natural History;journal;0.51;1.02
Biodiversity Data Journal;journal;0.51;1.23
Journal of Ethology;journal;0.43;1.27
Journal of Intelligent Information Systems;journal;0.42;1.89
Washington Quarterly;journal;0.41;1.50
Journal of Foraminiferal Research;journal;0.38;1.22
Dynamic Games and Applications;journal;0.35;1.08
Visual Computer;journal;0.32;2.60
Journal of Pidgin and Creole Languages;journal;0.23;0.47
Contemporary Pacific;journal;0.22;1.13
Materials Evaluation;trade journal;0.16;0.56
Neuron;journal;9.61;17.17
eLife;journal;5.88;8.14
Nature Sustainability;journal;4.51;19.35
Journal of Climate;journal;3.32;5.15
Strategic Organization;journal;3.14;5.41
Memoirs of the American Mathematical Society;journal;3.03;2.77
Computer-Aided Civil and Infrastructure Engineering;journal;2.77;11.78
Journal of Financial Stability;journal;2.27;3.73
Building and Environment;journal;1.74;6.46
SIAM Journal on Computing;journal;1.53;1.41
Annual Review of Linguistics;journal;1.43;3.51
Management Accounting Research;journal;1.36;3.69
Integrative and Comparative Biology;journal;1.33;3.33
International Journal of Public Opinion Research;journal;1.26;2.11
Plasmid;journal;1.25;3.47
Animal Health Research Reviews;journal;1.22;2.62
IEEE Transactions on Signal and Information Processing over Networks;journal;1.07;3.66
Soils and Foundations;journal;1.03;2.44
Chaos;journal;0.97;3.64
Geo-Spatial Information Science;journal;0.96;4.29
Neuroinformatics;journal;0.93;4.09
Smart Materials and Structures;journal;0.90;3.59
BMC Nephrology;journal;0.85;2.39
Thoracic Cancer;journal;0.82;3.50
Peptides;journal;0.82;3.75
Current Vascular Pharmacology;journal;0.81;2.72
Journal of Social Psychology;journal;0.81;2.71
Aquaculture Reports;journal;0.74;3.22
International Journal of Prosthodontics;journal;0.74;1.68
Radiology and Oncology;journal;0.71;2.99
International Journal of Mental Health and Addiction;journal;0.70;3.84
Annals of the Entomological Society of America;journal;0.67;2.10
Integrated Environmental Assessment and Management;journal;0.67;2.99
Waste and Biomass Valorization;journal;0.62;3.70
European Journal of International Law;journal;0.61;1.83
Irish Veterinary Journal;journal;0.55;2.15
Journal of Medical Toxicology;journal;0.53;2.90
Ameghiniana;journal;0.52;1.65
Journal of Equine Veterinary Science;journal;0.41;1.58
Journal of General and Applied Microbiology;journal;0.39;1.45
Transactions of the Royal Society of South Australia;journal;0.36;0.97
Actas Urologicas Espanolas;journal;0.36;0.99
Zeitschrift fur Gastroenterologie;journal;0.32;2.00
Czechoslovak Mathematical Journal;journal;0.30;0.34
International Journal of Quantum Information;journal;0.27;0.89
Journal of Law and Society;journal;0.26;1.03
Journal of Apicultural Science;journal;0.26;0.79
Romanian Journal of Information Science and Technology;journal;0.18;0.64
Issues in Science and Technology;journal;0.13;1.26
Modern Chinese Literature and Culture;journal;0.10;0.27
Annual Review of Virology;journal;5.61;10.43
Contemporary Educational Psychology;journal;2.48;4.28
Exercise and Sport Sciences Reviews;journal;1.95;6.23
Thyroid;journal;1.92;6.57
Current Issues in Tourism;journal;1.73;7.43
Frontiers in Systems Neuroscience;journal;1.65;3.29
Cephalalgia;journal;1.57;6.29
Scientific Reports;journal;1.24;4.38
International Political Sociology;journal;1.13;3.67
Frontiers in Earth Science;journal;1.10;3.50
Journal of Natural Gas Science and Engineering;journal;1.08;4.97
OncoTargets and Therapy;journal;1.05;4.15
Pathogens;journal;0.98;3.49
Computational Complexity;journal;0.97;1.35
Fisheries Research;journal;0.93;2.42
Journal of Managerial Psychology;journal;0.88;3.61
IEEE Transactions on Circuits and Systems for Video Technology;journal;0.87;4.69
Rejuvenation Research;journal;0.87;4.66
ISIJ International;journal;0.75;1.74
Seminars in Thoracic and Cardiovascular Surgery;journal;0.75;2.01
Journal of Atmospheric Chemistry;journal;0.72;2.16
International Journal of General Medicine;journal;0.72;2.47
Journal of Animal Physiology and Animal Nutrition;journal;0.65;2.13
Journal of Computer Information Systems;journal;0.63;3.40
New Left Review;journal;0.57;2.02
IAWA Journal;journal;0.54;2.31
Advances in Rheumatology;journal;0.52;2.24
Health Promotion Journal of Australia;journal;0.52;1.95
Frontiers in Surgery;journal;0.48;2.72
Chemosensory Perception;journal;0.41;1.83
Psicologia Educativa;journal;0.38;1.25
Journal of Modern Optics;journal;0.38;1.46
IRBM;journal;0.35;1.86
Theoretical Linguistics;journal;0.32;1.93
IEEE Pulse;journal;0.27;0.92
Archives of Metallurgy and Materials;journal;0.26;0.77
Acta Chirurgica Belgica;journal;0.23;1.09
International Journal of Transport Economics;journal;0.23;0.35
Chiang Mai Journal of Science;journal;0.16;0.52
Ageing Research Reviews;journal;3.52;10.90
Transport Reviews;journal;3.05;9.64
Human Reproduction;journal;2.45;6.92
Political Psychology;journal;2.42;4.33
Journal of Management Inquiry;journal;2.32;3.19
SIAM Journal on Optimization;journal;2.07;2.85
Clinical Epigenetics;journal;1.87;6.55
Current Opinion in Psychiatry;journal;1.66;4.74
Transboundary and Emerging Diseases;journal;1.39;5.01
Yale Journal of Biology and Medicine;journal;1.27;3.03
BMC Pulmonary Medicine;journal;1.23;3.32
Behavioral Ecology and Sociobiology;journal;1.20;2.98
Urban Climate;journal;1.15;5.73
Brazilian Journal of Physical Therapy;journal;0.96;3.38
Area;journal;0.96;2.28
Nanomedicine;journal;0.95;5.31
Journal of Minimally Invasive Gynecology;journal;0.93;4.14
Poetics;journal;0.87;1.68
Journal of Biological Dynamics;journal;0.87;2.18
Journal of Physical Chemistry B;journal;0.86;2.99
Doklady Mathematics;journal;0.77;0.62
International Journal of Offender Therapy and Comparative Criminology;journal;0.75;1.86
Biochip Journal;journal;0.67;3.49
Chemistry and Physics of Lipids;journal;0.66;3.33
Russian Geology and Geophysics;journal;0.57;1.21
Current Medical Science;journal;0.50;2.14
Journal of Cardiovascular Medicine;journal;0.46;2.16
Landscape and Ecological Engineering;journal;0.46;1.81
Spanish Journal of Psychology;journal;0.44;1.26
Australian Mammalogy;journal;0.43;1.54
South African Journal of Enology and Viticulture;journal;0.42;1.73
International Journal of Sport Psychology;journal;0.35;0.60
Iranian Journal of Kidney Diseases;journal;0.34;0.89
Current Analytical Chemistry;journal;0.29;1.89
Journal of Ceramic Science and Technology;journal;0.28;1.68
Radiation Effects and Defects in Solids;journal;0.28;1.14
Bautechnik;trade journal;0.22;0.41
Brazilian Archives of Biology and Technology;journal;0.21;0.80
Journal of East European Management Studies;journal;0.20;0.82
Integrative Medicine Research;journal;0.19;2.37
Buffalo Law Review;journal;0.16;0.62
Journal of Israeli History;journal;0.12;0.10
Chemical Society Reviews;journal;15.60;54.56
Annual Review of Genetics;journal;10.88;16.83
Advanced Energy Materials;journal;10.08;29.37
Journal of Economic Perspectives;journal;9.61;7.90
Annual Review of Medicine;journal;6.03;13.74
Journal of Economic Theory;journal;3.69;1.46
